id,tree_type_id,maint_date,replace_date,plant_date,diameter_at_height,height,spread,grove,tree_status_id,agency_id,street_no,street,longitude,latitude
10494,40,,,06-Mar-02,,,,,,14,195,Brandon,-119.89268,34.43834
10495,40,,,06-Mar-02,,,,,,14,195,Brandon,-119.89268,34.43834
10496,40,,,06-Mar-02,,,,,,14,195,Brandon,-119.89268,34.43834
10497,40,,,06-Mar-02,,,,,,14,195,Brandon,-119.89268,34.43834
10498,40,,,06-Mar-02,,,,,,14,195,Brandon,-119.89268,34.43834
11739,40,,,26-Jan-08,,,,,0,14,195,Brandon,-119.89268,34.43834
11751,45,,,26-Jan-08,,,,,0,14,195,Brandon,-119.89268,34.43834
11748,19,,,26-Jan-08,,,,,,14,195,Brandon,-119.89268,34.43834
11752,19,,,26-Jan-08,,,,,,14,195,Brandon,-119.89268,34.43834
11753,19,,,26-Jan-08,,,,,,14,195,Brandon,-119.89268,34.43834
11754,19,,,26-Jan-08,,,,,,14,195,Brandon,-119.89268,34.43834
11726,64,,,26-Jan-08,,,,,,14,195,Brandon,-119.89268,34.43834
11749,67,,,26-Jan-08,,,,,,14,195,Brandon,-119.89268,34.43834
11750,67,,,26-Jan-08,,,,,,14,195,Brandon,-119.89268,34.43834
11737,51,,,26-Jan-08,,,,,,14,195,Brandon,-119.89268,34.43834
13717,89,,,07-Nov-09,,,,,,,195,Brandon,-119.89268,34.43834
13718,89,,,07-Nov-09,,,,,,,195,Brandon,-119.89268,34.43834
11734,52,,,26-Jan-08,,,,,,14,195,Brandon,-119.89268,34.43834
11742,77,,,26-Jan-08,,,,,,14,195,Brandon,-119.89268,34.43834
11729,73,,,26-Jan-08,,,,,,14,195,Brandon,-119.89268,34.43834
11730,73,,,26-Jan-08,,,,,,14,195,Brandon,-119.89268,34.43834
13171,73,,,11-Mar-11,,,,,,,195,Brandon,-119.89268,34.43834
13156,73,,11-Mar-11,,,,,,0,,195,Brandon,-119.89268,34.43834
13157,73,,,,,,,,,,195,Brandon,-119.89268,34.43834
13715,73,,,07-Nov-09,,,,,,,195,Brandon,-119.89268,34.43834
13716,73,,,07-Nov-09,,,,,,,195,Brandon,-119.89268,34.43834
14553,73,,,06-Oct-12,,,,,,,195,Brandon,-119.89268,34.43834
14554,73,,,06-Oct-12,,,,,,,195,Brandon,-119.89268,34.43834
14555,73,,,06-Oct-12,,,,,,,195,Brandon,-119.89268,34.43834
14556,73,,,06-Oct-12,,,,,,,195,Brandon,-119.89268,34.43834
14557,73,,,06-Oct-12,,,,,,,195,Brandon,-119.89268,34.43834
14558,73,,,06-Oct-12,,,,,,,195,Brandon,-119.89268,34.43834
11744,1,,,26-Jan-08,,,,,,14,195,Brandon,-119.89268,34.43834
11745,1,,,26-Jan-08,,,,,,14,195,Brandon,-119.89268,34.43834
11746,1,,,26-Jan-08,,,,,,14,195,Brandon,-119.89268,34.43834
11747,1,,,26-Jan-08,,,,,,14,195,Brandon,-119.89268,34.43834
10479,39,,,06-Mar-02,,,,,,14,195,Brandon,-119.89268,34.43834
10480,39,,,06-Mar-02,,,,,,14,195,Brandon,-119.89268,34.43834
10481,39,,,06-Mar-02,,,,,,14,195,Brandon,-119.89268,34.43834
10482,39,,,06-Mar-02,,,,,,14,195,Brandon,-119.89268,34.43834
10483,39,,,06-Mar-02,,,,,,14,195,Brandon,-119.89268,34.43834
10484,39,,,06-Mar-02,,,,,,14,195,Brandon,-119.89268,34.43834
